id	tweet	label 
1	"El Atlético resignado a perder HASHTAG 😔  https://t.co/AiaaGdxmQO"	sadness 
2	"Leer proporciona una mejor visión del mundo 🤓  ¡Feliz HASHTAG y HASHTAG! 📖 https://t.co/LRUdAIRTbN"	joy 
3	Amo a Arya Stark por encima de todas las cosas 😍😍😍#gameofthrones HASHTAG	joy 
4	Gracias HASHTAG es increíble que una niña logre liderar tan imperativa movilización y supere a cualquier adulto en nivel de conciencia. Vergüenza deberíamos sentir los demás 😓#CambioClimático HASHTAG HASHTAG HASHTAG 🙏🌎💚https://t.co/HRFPuB7oc9	others 
5	Solo siento que hayamos perdido 24 escaños de cordura HASHTAG	sadness 
6	"Solo con ver con la intensidad que agitan las banderas se ve que no han quedado satisfechos los de USER Sinceramente me alegro muchísimo. HASHTAG HASHTAG https://t.co/Au7zuC1KWp"	joy 
7	"¡Una vez más uno de los mejores jugadores de la historia! 🇦🇷 Leo Messi al 75' y al 82' en HASHTAG 🔵🔴 ¿Se acabó la serie? 🏆 https://t.co/xivFajGEvz"	joy 
8	HASHTAG espero que no se quejen de los injusto que es el futbol	others 
9	Hoy tarde de oraciones. Pido por todos mis amigos venezolanos que hoy sufren la opresión a fin de que llegue pronto una HASHTAG sin violencia. https://t.co/C3GAUJ7U3a	sadness 
10	HASHTAG 🌎 el mundo nos necesita así que es hora de alzar la voz	others 
11	Me dispongo a ver el 8x03 de HASHTAG 😱	others 
12	USER USER Presidente de la República HASHTAG USER Le habla al país y la comunidad internacional a las 6 pm Ruedalo HASHTAG	others 
13	"Una lástima lo de HASHTAG, una perdida incalculable. Eso si, más lastima es cuando desaparece la humanidad y no un patrimonio suyo. Eso pasa todo los dias, no abre noticiarios y los dirigentes mundiales no muestran su pena. Posiblemente porque ellos son los culpables."	sadness 
14	¡La puta ama de Poniente! HASHTAG HASHTAG HASHTAG HASHTAG https://t.co/63e248Fl3z	surprise 
15	Nuestra Secretaria General USER felicita a todos los lectores destacados de HASHTAG, que en el HASHTAG fueron premiados por su amor por los libros e incansable ganas de viajar, soñar y aprender mediante las palabras https://t.co/7PdxWpA95X	joy 
16	⛪ La catedral estuvo a media hora de venirse abajo completamente. El daño en Notre Dame es irreparable. Nos adentramos en el templo tras el incendio, en HASHTAG HASHTAG https://t.co/VXUwkzGTdc https://t.co/SUxiHfvfyT	sadness 
17	Y USER vuelve a dejar en la calle a la basura de USER HASHTAG el aun cree q esto es un juego y q Guaido es un gafo. Por segunda vez lo deja loco. HASHTAG https://t.co/L8Bx67c0jA	others 
18	. USER gracias por el tip. Reto Cumplido . Tienes más ideas? HASHTAG https://t.co/yraE1B3wMk	others 
19	"No confíes en la gente que no lee nada de nada.  Feliz día del libro.  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG https://t.co/M0dfkLze8A"	others 
20	Estos son los militares que apoyan a HASHTAG que estaba preso en su casa y salio hoy en la madrugada, los identificas por la cinta azul en su brazo. En la imagen se ve que las balas NO son de salva. HASHTAG https://t.co/OXeqA0VwMV	others 
21	Feliz día del trabajador Lionel Messi HASHTAG HASHTAG	others 
22	ESTOY LLORANDO. QUE MARAVILLA, OBRA DE ARTE, ESPECTACULAR, ALUCINANTE, INCREIBLE, MAJESTUOSO CAPÍTULO DE JUEGO DE TRONOS ME CAGO EN MIS MUERTOS. NO DOY CRÉDITO A LO QUE ACABO DE VER HASHTAG HASHTAG HASHTAG	joy 
